CO2,SpO2,MABP,HbD40,HbT40,CCO40,time
5.2,97.9999999999999,40.0787159840215,-1.47538218058462,-0.706646108526051,-0.13404597563296,111
5.2,97.9999999999999,40.0588625327901,-1.37752690551294,-0.667055244515183,-0.115745103343045,112
5.2,97.9999999999999,40.0167461070492,-1.26587543439898,-0.622418435327187,-0.0950531742417127,113
5.2,97.9999999999999,39.9556357489694,-1.14105126400436,-0.57099533231618,-0.0769274016711154,114
5.2,97.9999999999999,39.8482596735742,-0.984341209738912,-0.500894538990028,-0.0612340946747718,115
5.2,97.9999999999999,39.7200350824038,-0.809870371863251,-0.427140316024637,-0.0436052266036997,116
5.2,97.9999999999999,39.6118935727441,-0.642631860604822,-0.369349740848705,-0.0231487356774762,117
5.2,97.9999999999999,39.5238351445953,-0.466869072791598,-0.327787829163576,-0.00430481799946225,118
5.2,97.9999999999999,39.4558597979572,-0.29935489948604,-0.306165983893919,0.00999952265743076,119
5.2,97.9999999999999,39.4079675328299,-0.134628124271113,-0.291794212126142,0.0179955431078724,120
5.2,97.9999999999999,39.3801583492134,-0.0165665923068312,-0.298437949954742,0.0216117058214902,121
5.2,97.9999999999999,39.3724322471077,0.081629409205485,-0.308270159040923,0.0225635142221741,122
5.2,97.9999999999999,39.3847892265127,0.161956962872416,-0.333223644580137,0.0202889930503751,123
5.2,97.9999999999999,39.4172292874285,0.215058884845964,-0.363520037056183,0.0162705738854996,124
5.2,97.9999999999999,39.4697524298551,0.237560959177897,-0.389938191617837,0.00743691791932566,125
5.2,97.9999999999999,39.5582289764708,0.226579382358362,-0.411842205793452,-0.00585409444128615,126
5.2,97.9999999999999,39.6980020571046,0.182132473418951,-0.437122804663623,-0.020030069768965,127
5.2,97.9999999999999,39.8277304076735,0.123139277360713,-0.464247866204929,-0.0331459821127593,128
5.2,97.9999999999999,39.9506830703482,0.0462989289749043,-0.497578318431504,-0.0449758582630349,129
5.2,97.9999999999999,40.0078954544367,-0.0420080821073832,-0.519875126591906,-0.0581497424344963,130
5.2,97.9999999999999,40.0109476235658,-0.134213428022252,-0.545994550337074,-0.0672975173574448,131
5.2,97.9999999999999,39.9771824045798,-0.236807627241075,-0.574027056890337,-0.067635886243739,132
5.2,97.9999999999999,39.9065997974788,-0.32899877826623,-0.582747728027773,-0.0701097609378261,133
5.2,97.9999999999999,39.7991998022628,-0.411540519498426,-0.579244550654597,-0.0726983967169446,134
5.2,97.9999999999999,39.6549824189317,-0.46841714759333,-0.5699122116716,-0.0717211514074805,135
